'Asp Ratio','Form Factor','Narrow Factor',Rect,PRD,PRLW,MeanRed,MeanGreen,MeanBlue,StdDevRed,StdDevGreen,StdDevBlue,SkewRed,SkewGreen,SkewBlue,ASM,Contrast,Entropy,Homogeneity,Correlation,Class
0.151286,0.222856,0.109334,0.185013,0.025748,0.042022,0.836066,0.865854,0.82243,0.464018,0.382494,0.432369,0.095562,0.296519,0.131578,0.810637,0.031532,0.163452,0.856402,0.111663,'pubescent bamboo'
0.134783,0.26599,0.095689,0.190074,0.026838,0.031191,0.836066,0.865854,0.831776,0.475116,0.36395,0.436245,0.084793,0.315914,0.122896,0.823566,0.032984,0.151441,0.862814,0.1067,'pubescent bamboo'
0.076736,0.338927,0.047953,0.22821,0.077627,0.05001,0.704918,0.792683,0.719626,0.634057,0.394228,0.52987,0.057364,0.348994,0.129023,0.665344,0.041783,0.279642,0.728341,0.17866,'pubescent bamboo'
0.072169,0.373202,0.017987,0.268961,0.08752,0.033455,0.696721,0.743902,0.682243,0.62149,0.484872,0.579068,0.077379,0.278486,0.111711,0.637015,0.027125,0.285784,0.734874,0.215881,'pubescent bamboo'
0.129977,0.264217,0.070162,0.171805,0.045918,0.040787,0.819672,0.841463,0.813084,0.465697,0.398707,0.426973,0.107937,0.29584,0.147379,0.789155,0.025601,0.171729,0.848305,0.121588,'pubescent bamboo'
0.115198,0.291578,0.047123,0.178135,0.060468,0.039717,0.803279,0.817073,0.785047,0.496413,0.439277,0.468699,0.09827,0.268055,0.130451,0.76276,0.02929,0.191719,0.825362,0.141439,'pubescent bamboo'
0.069983,0.360328,0.028944,0.263668,0.08765,0.042271,0.754098,0.780488,0.738318,0.550792,0.460999,0.512447,0.092891,0.27489,0.129247,0.698524,0.050691,0.256714,0.754374,0.176179,'pubescent bamboo'
0.106829,0.232207,0.034675,0.251754,0.085944,0.061241,0.778689,0.804878,0.775701,0.526764,0.449883,0.487842,0.089297,0.265663,0.12283,0.741049,0.036158,0.214985,0.798319,0.153846,'pubescent bamboo'
0.074134,0.34162,0.048502,0.271506,0.072568,0.042292,0.721311,0.792683,0.728972,0.598539,0.40701,0.518641,0.074902,0.333609,0.132514,0.675701,0.023424,0.259259,0.762762,0.176179,'pubescent bamboo'
0.079042,0.305137,0.027587,0.270692,0.092119,0.051682,0.721311,0.768293,0.71028,0.580669,0.457881,0.535927,0.092368,0.291755,0.129619,0.665092,0.051907,0.275901,0.729072,0.193548,'pubescent bamboo'
0.106758,0.252909,0.052026,0.186733,0.077689,0.065951,0.737705,0.768293,0.728972,0.579216,0.466236,0.516361,0.080266,0.276621,0.13209,0.687474,0.034071,0.255314,0.761681,0.183623,'pubescent bamboo'
0.07659,0.272999,0.042352,0.266808,0.09797,0.071915,0.762295,0.792683,0.757009,0.549417,0.447313,0.497267,0.086497,0.282506,0.130672,0.712617,0.035831,0.230745,0.775717,0.166253,'pubescent bamboo'
0.147664,0.187984,0.056237,0.184465,0.07002,0.06824,0.811475,0.841463,0.803738,0.491919,0.394228,0.448389,0.093846,0.304018,0.135838,0.780079,0.040336,0.184372,0.828817,0.126551,'pubescent bamboo'
0.0671,0.327307,0.061455,0.288675,0.076285,0.054112,0.655738,0.756098,0.672897,0.679855,0.433011,0.57504,0.056246,0.332146,0.12308,0.611237,0.031743,0.314709,0.704395,0.215881,'pubescent bamboo'
0.069337,0.362982,0.059295,0.263209,0.067892,0.042244,0.655738,0.768293,0.672897,0.670644,0.396676,0.543647,0.065008,0.367698,0.15058,0.604544,0.060951,0.334718,0.660891,0.205955,'pubescent bamboo'
0.088329,0.282666,0.059871,0.20211,0.078679,0.067628,0.680328,0.695122,0.654206,0.622093,0.55673,0.607791,0.088772,0.224151,0.104405,0.611117,0.044563,0.331584,0.699298,0.248139,'pubescent bamboo'
0.090584,0.288231,0.052004,0.207605,0.077971,0.060537,0.696721,0.707317,0.663551,0.605622,0.540771,0.597792,0.091049,0.235391,0.105978,0.633657,0.042874,0.298851,0.720538,0.233251,'pubescent bamboo'
0.062751,0.408569,0.145794,0.233765,0.028155,0.04191,0.614754,0.658537,0.588785,0.695959,0.554285,0.665749,0.07602,0.256311,0.099327,0.557027,0.044062,0.374543,0.646023,0.287841,'pubescent bamboo'
0.05629,0.425905,0.048038,0.282817,0.076394,0.034727,0.663934,0.695122,0.654206,0.657874,0.548543,0.609961,0.070431,0.236329,0.103756,0.611219,0.031473,0.316879,0.702447,0.25062,'pubescent bamboo'
0.035872,0.676209,0.068702,0.21077,0.071672,0.020848,0.532787,0.670732,0.53271,0.738915,0.453897,0.645353,0.101875,0.373088,0.160142,0.459254,0.022227,0.424987,0.633433,0.305211,'chinese horse chestnut'
0.032772,0.666772,0.043806,0.224816,0.095899,0.024793,0.467213,0.634146,0.46729,0.822796,0.490117,0.724966,0.078485,0.357977,0.13364,0.427594,0.052021,0.474798,0.518753,0.35732,'chinese horse chestnut'
0.033558,0.606346,0.076403,0.249198,0.078293,0.030847,0.311475,0.536585,0.327103,0.833573,0.484643,0.724096,0.201451,0.447622,0.248896,0.264975,0.045681,0.600244,0.387512,0.468983,'chinese horse chestnut'
0.029677,0.478442,0.076238,0.255429,0.117769,0.070973,0.303279,0.512195,0.308411,0.803929,0.491138,0.71319,0.24155,0.461114,0.278443,0.237457,0.057684,0.636846,0.337779,0.488834,'chinese horse chestnut'
0.033658,0.668185,0.041785,0.216598,0.095933,0.024847,0.344262,0.5,0.327103,0.815883,0.538263,0.743961,0.186672,0.410618,0.226949,0.281069,0.0516,0.601232,0.397311,0.483871,'chinese horse chestnut'
0.030524,0.446921,0.103884,0.256995,0.104252,0.079421,0.262295,0.54878,0.299065,0.840135,0.441763,0.698772,0.245036,0.493835,0.303408,0.220098,0.061674,0.657136,0.311395,0.476427,'chinese horse chestnut'
0.03234,0.621118,0.066521,0.293919,0.077735,0.020366,0.385246,0.646341,0.401869,0.841539,0.435526,0.73339,0.12576,0.404845,0.170347,0.34335,0.060419,0.587481,0.420204,0.379653,'chinese horse chestnut'
0.033105,0.561291,0.07522,0.260505,0.086882,0.039806,0.278689,0.560976,0.299065,0.837466,0.454018,0.724676,0.23021,0.458027,0.271538,0.233861,0.056232,0.654727,0.324182,0.473945,'chinese horse chestnut'
0.029336,0.412259,0.092627,0.255843,0.126358,0.095161,0.262295,0.609756,0.317757,0.866241,0.395454,0.694535,0.216129,0.496599,0.288771,0.235405,0.055217,0.641014,0.330378,0.441687,'chinese horse chestnut'
0.031185,0.585333,0.068225,0.285588,0.088208,0.032013,0.295082,0.658537,0.345794,0.864393,0.363804,0.701091,0.184242,0.488566,0.249151,0.264753,0.049888,0.637144,0.361973,0.399504,'chinese horse chestnut'
0.033478,0.582569,0.091033,0.232726,0.077107,0.040258,0.352459,0.512195,0.336449,0.839359,0.563003,0.771711,0.156911,0.359589,0.190246,0.308217,0.043192,0.585403,0.421793,0.478908,'chinese horse chestnut'
0.032013,0.651931,0.118826,0.231058,0.055159,0.027733,0.418033,0.573171,0.420561,0.808926,0.522784,0.71606,0.130351,0.364335,0.177768,0.362001,0.048758,0.530904,0.468345,0.406948,'chinese horse chestnut'
0.031193,0.632142,0.090621,0.253569,0.071726,0.028366,0.45082,0.695122,0.476636,0.787527,0.387223,0.663526,0.121778,0.43667,0.184209,0.388143,0.045217,0.50807,0.486165,0.325062,'chinese horse chestnut'
0.031532,0.575866,0.057388,0.236832,0.105398,0.044482,0.278689,0.52439,0.299065,0.835327,0.468482,0.711488,0.23187,0.488193,0.291326,0.227578,0.041147,0.61897,0.367402,0.488834,'chinese horse chestnut'
0.03017,0.522411,0.109715,0.235208,0.088042,0.061699,0.204918,0.536585,0.261682,0.846369,0.422437,0.69208,0.320057,0.539938,0.3581,0.177713,0.043298,0.674916,0.294252,0.506203,'chinese horse chestnut'
0.032224,0.431425,0.096859,0.298059,0.099435,0.071396,0.286885,0.707317,0.364486,0.890651,0.326246,0.690039,0.164401,0.497944,0.243827,0.270521,0.030848,0.604631,0.417439,0.37469,'chinese horse chestnut'
0.030322,0.655368,0.040267,0.265964,0.10075,0.022406,0.270492,0.47561,0.261682,0.818011,0.522676,0.737174,0.262326,0.447038,0.300689,0.215889,0.074792,0.690039,0.285393,0.531017,'chinese horse chestnut'
0.031391,0.661947,0.076846,0.244704,0.075754,0.023756,0.278689,0.573171,0.317757,0.82952,0.433389,0.69208,0.240043,0.478075,0.291436,0.230371,0.050398,0.644927,0.333932,0.456576,'chinese horse chestnut'
0.032725,0.627959,0.047324,0.249521,0.095822,0.027477,0.311475,0.54878,0.327103,0.860972,0.486473,0.749573,0.173687,0.432449,0.219315,0.279611,0.059646,0.612079,0.366414,0.46402,'chinese horse chestnut'
0.032031,0.581906,0.095063,0.298492,0.068145,0.028662,0.344262,0.682927,0.411215,0.854914,0.351546,0.670364,0.148067,0.49011,0.226558,0.311838,0.040036,0.572224,0.431195,0.35732,'chinese horse chestnut'
0.032221,0.379702,0.025359,0.282713,0.176354,0.095287,0.278689,0.560976,0.28972,0.823682,0.453533,0.716586,0.245552,0.457047,0.292645,0.223972,0.052254,0.668335,0.316409,0.476427,'chinese horse chestnut'
0.034398,0.477257,0.110585,0.229802,0.085472,0.068413,0.327869,0.597561,0.35514,0.835473,0.435024,0.713952,0.183996,0.455614,0.232485,0.284621,0.053703,0.598778,0.386657,0.426799,'chinese horse chestnut'
0.02998,0.662357,0.104299,0.232981,0.066482,0.028706,0.368852,0.609756,0.383178,0.848102,0.456315,0.730743,0.135772,0.418518,0.193597,0.334816,0.051609,0.549761,0.440305,0.406948,'chinese horse chestnut'
0.032152,0.570778,0.102124,0.264546,0.071384,0.038284,0.278689,0.54878,0.299065,0.852568,0.463386,0.737918,0.21376,0.459669,0.255838,0.242915,0.065952,0.657475,0.319514,0.478908,'chinese horse chestnut'
0.031476,0.427486,0.092076,0.277821,0.109873,0.079196,0.344262,0.585366,0.364486,0.864582,0.473882,0.745892,0.140026,0.415246,0.191661,0.320887,0.071653,0.586748,0.394718,0.424318,'chinese horse chestnut'
0.029471,0.682349,0.090888,0.247859,0.069756,0.022336,0.221311,0.585366,0.271028,0.870683,0.405148,0.714187,0.261028,0.49352,0.313281,0.202976,0.044126,0.68784,0.318405,0.476427,'chinese horse chestnut'
0.030223,0.630059,0.086052,0.259226,0.076721,0.02929,0.286885,0.585366,0.336449,0.786763,0.40608,0.644469,0.280101,0.506189,0.328552,0.212658,0.033272,0.626502,0.362335,0.444169,'chinese horse chestnut'
0.034189,0.37941,0.109774,0.243431,0.110456,0.101641,0.327869,0.609756,0.364486,0.851034,0.430609,0.713601,0.167536,0.451569,0.222651,0.290608,0.057877,0.598816,0.384488,0.419355,'chinese horse chestnut'
0.034542,0.614224,0.099136,0.212094,0.067682,0.035836,0.385246,0.573171,0.383178,0.791081,0.484986,0.703641,0.173957,0.409574,0.219745,0.308685,0.028859,0.561717,0.476145,0.424318,'chinese horse chestnut'
0.038092,0.559761,0.107287,0.259184,0.05599,0.031722,0.532787,0.719512,0.551402,0.751363,0.410451,0.642889,0.090132,0.384348,0.148001,0.475805,0.02289,0.428896,0.616503,0.280397,'chinese horse chestnut'
0.009253,0.893457,0.274485,0.193934,0.060367,0.027468,0.311475,0.378049,0.252336,0.665833,0.548234,0.661421,0.422499,0.560968,0.430864,0.15436,0.0962,0.732682,0.213695,0.578164,'chinese redbud'
0.007979,0.867106,0.322503,0.156749,0.062709,0.041239,0.303279,0.378049,0.271028,0.703277,0.566517,0.659933,0.355482,0.510402,0.388114,0.162984,0.07995,0.730692,0.230459,0.578164,'chinese redbud'
0.006756,0.83297,0.385102,0.120994,0.063487,0.056829,0.319672,0.426829,0.299065,0.701176,0.532372,0.649004,0.33996,0.508303,0.36942,0.18022,0.055193,0.684136,0.28398,0.538462,'chinese redbud'
0.006756,0.890777,0.384622,0.119715,0.057096,0.047253,0.278689,0.463415,0.271028,0.754412,0.495877,0.680921,0.332177,0.520519,0.364039,0.180813,0.050675,0.679631,0.300937,0.533499,'chinese redbud'
0.007891,0.837472,0.329547,0.192714,0.057975,0.036958,0.393443,0.45122,0.345794,0.703443,0.575271,0.683405,0.246732,0.407967,0.272634,0.25205,0.09275,0.653445,0.316367,0.501241,'chinese redbud'
0.009935,0.895229,0.247244,0.183614,0.06764,0.029362,0.319672,0.378049,0.261682,0.674464,0.565615,0.67257,0.381768,0.515687,0.38875,0.166731,0.091493,0.726448,0.229864,0.578164,'chinese redbud'
0.006101,0.817809,0.418165,0.13335,0.058649,0.055387,0.352459,0.47561,0.317757,0.729546,0.527064,0.695252,0.264274,0.454627,0.28801,0.234513,0.069697,0.650245,0.313544,0.501241,'chinese redbud'
0.00673,0.923602,0.393237,0.118062,0.051519,0.042464,0.319672,0.463415,0.280374,0.733251,0.507669,0.694355,0.302516,0.505387,0.338036,0.204984,0.044392,0.640111,0.329053,0.521092,'chinese redbud'
0.005432,0.920065,0.36568,0.089137,0.078564,0.050357,0.245902,0.463415,0.242991,0.690546,0.438903,0.615133,0.791397,0.680532,0.81682,0.115016,0.044619,0.738438,0.244502,0.543424,'chinese redbud'
0.005962,0.795118,0.436311,0.106111,0.063019,0.067836,0.327869,0.560976,0.336449,0.776484,0.443125,0.681588,0.233594,0.478491,0.277484,0.236561,0.107155,0.684737,0.279545,0.451613,'chinese redbud'
0.005808,0.815239,0.365689,0.10778,0.083892,0.063258,0.344262,0.52439,0.345794,0.746137,0.484184,0.659312,0.25334,0.461139,0.299354,0.237692,0.091513,0.659488,0.300333,0.46402,'chinese redbud'
0.009338,0.908246,0.262691,0.20759,0.060074,0.022031,0.327869,0.487805,0.299065,0.703001,0.482231,0.662165,0.324941,0.50656,0.345708,0.193735,0.078968,0.701368,0.260961,0.498759,'chinese redbud'
0.006093,0.862288,0.423775,0.13586,0.051428,0.046833,0.327869,0.536585,0.336449,0.763245,0.459802,0.668889,0.254056,0.485451,0.298806,0.231379,0.050137,0.637879,0.339619,0.461538,'chinese redbud'
0.007458,0.900972,0.350491,0.123489,0.060129,0.044821,0.278689,0.463415,0.271028,0.721228,0.47842,0.653516,0.380393,0.545837,0.397958,0.162364,0.07241,0.725444,0.240398,0.531017,'chinese redbud'
0.007525,0.838632,0.121454,0.174262,0.169402,0.041357,0.368852,0.487805,0.345794,0.697849,0.509099,0.651451,0.278979,0.465992,0.307829,0.229485,0.103046,0.678329,0.276923,0.476427,'chinese redbud'
0.009509,0.967604,0.260196,0.20841,0.053363,0.013413,0.377049,0.439024,0.336449,0.701176,0.574282,0.679949,0.259069,0.411658,0.274626,0.233463,0.174419,0.718748,0.242092,0.513648,'chinese redbud'
0.005182,0.886242,0.488172,0.120871,0.042773,0.045921,0.418033,0.5,0.383178,0.741523,0.563305,0.710371,0.19108,0.381122,0.214353,0.316237,0.06297,0.571396,0.408251,0.454094,'chinese redbud'
0.009463,0.902866,0.259143,0.205574,0.061481,0.023239,0.278689,0.414634,0.233645,0.691329,0.502581,0.663526,0.449926,0.586003,0.463775,0.139971,0.095329,0.764272,0.187061,0.578164,'chinese redbud'
0.008464,0.92523,0.299189,0.186804,0.055015,0.024611,0.286885,0.47561,0.271028,0.711143,0.461716,0.650511,0.377035,0.56371,0.403635,0.158046,0.126581,0.750339,0.177459,0.523573,'chinese redbud'
0.007957,0.878312,0.326666,0.18537,0.054976,0.03211,0.319672,0.414634,0.271028,0.727338,0.562096,0.711253,0.307605,0.463385,0.319371,0.202323,0.055153,0.684097,0.316495,0.55335,'chinese redbud'
0.008314,0.970151,0.309812,0.166741,0.051406,0.023074,0.270492,0.5,0.280374,0.792094,0.466591,0.693398,0.295293,0.527071,0.336368,0.198081,0.04146,0.637933,0.328412,0.511166,'chinese redbud'
0.007269,0.935392,0.350579,0.159238,0.051088,0.029793,0.344262,0.463415,0.327103,0.753099,0.536795,0.694953,0.248392,0.456374,0.279442,0.237925,0.033602,0.607699,0.399869,0.503722,'chinese redbud'
0.006072,0.869744,0.421567,0.127534,0.052963,0.047924,0.336066,0.402439,0.280374,0.749624,0.596182,0.731607,0.260918,0.431908,0.288218,0.226292,0.090255,0.671366,0.281656,0.55335,'chinese redbud'
0.007613,0.953611,0.346618,0.142167,0.050928,0.03165,0.295082,0.45122,0.261682,0.740938,0.506235,0.692559,0.324103,0.523984,0.364779,0.187831,0.087803,0.685634,0.253576,0.540943,'chinese redbud'
0.007062,0.835354,0.367939,0.136404,0.062902,0.052059,0.311475,0.414634,0.271028,0.758864,0.574084,0.72125,0.279349,0.445856,0.310051,0.209064,0.082697,0.690986,0.267516,0.55335,'chinese redbud'
0.006568,1,0.392085,0.145185,0.04061,0.023899,0.311475,0.365854,0.242991,0.747988,0.607954,0.740488,0.290442,0.458035,0.321216,0.203887,0.093851,0.698743,0.249623,0.602978,'chinese redbud'
0.006863,0.871461,0.376635,0.145374,0.055844,0.043257,0.344262,0.390244,0.299065,0.712512,0.598667,0.695192,0.295301,0.444712,0.3113,0.214913,0.094828,0.668108,0.269311,0.55335,'chinese redbud'
0.008486,0.904765,0.302764,0.216409,0.05086,0.020775,0.360656,0.439024,0.317757,0.749729,0.593014,0.73178,0.237391,0.395695,0.249549,0.260166,0.079794,0.637797,0.329499,0.523573,'chinese redbud'
0.006728,0.975949,0.380384,0.142624,0.045367,0.027982,0.286885,0.439024,0.261682,0.796238,0.550086,0.741115,0.26638,0.46038,0.296285,0.212673,0.070999,0.665808,0.286602,0.55335,'chinese redbud'
0.008164,0.955681,0.314389,0.168108,0.052205,0.024776,0.319672,0.45122,0.280374,0.705814,0.505904,0.670732,0.333762,0.518968,0.365333,0.184753,0.097369,0.713806,0.23026,0.526055,'chinese redbud'
0.023062,0.879181,0.096834,0.185379,0.072888,0.013707,0.713115,0.743902,0.672897,0.635957,0.508989,0.642447,0.051082,0.245432,0.05545,0.685093,0.037128,0.249454,0.759389,0.2134,'true indigo'
0.024836,0.912395,0.15342,0.131661,0.045215,0.018954,0.745902,0.731707,0.700935,0.582498,0.553468,0.60937,0.071657,0.194621,0.064491,0.711102,0.034727,0.232156,0.774648,0.205955,'true indigo'
0.024317,0.882594,0.149873,0.11982,0.053918,0.02745,0.713115,0.695122,0.672897,0.622153,0.62147,0.652453,0.061465,0.141913,0.046903,0.686113,0.044986,0.258653,0.747783,0.240695,'true indigo'
0.023876,0.908746,0.158997,0.122193,0.048093,0.023609,0.762295,0.731707,0.719626,0.576936,0.596277,0.605087,0.062704,0.139938,0.053451,0.736066,0.035389,0.210208,0.797211,0.203474,'true indigo'
0.024043,0.918538,0.177426,0.125765,0.038317,0.020939,0.762295,0.743902,0.728972,0.571466,0.573985,0.594522,0.065991,0.157996,0.057534,0.739956,0.034991,0.209207,0.798985,0.19603,'true indigo'
0.022196,0.937005,0.159941,0.130047,0.049056,0.020271,0.778689,0.768293,0.747664,0.563966,0.557441,0.58477,0.057345,0.157616,0.049956,0.767745,0.038712,0.18976,0.814256,0.181141,'true indigo'
0.02341,0.927749,0.175707,0.123122,0.040592,0.021375,0.819672,0.817073,0.794393,0.493467,0.478883,0.503286,0.083217,0.213248,0.087299,0.809675,0.030821,0.151312,0.85437,0.138958,'true indigo'
0.022408,0.898317,0.182915,0.184604,0.033596,0.012162,0.745902,0.768293,0.719626,0.567628,0.496214,0.577228,0.082982,0.239513,0.08312,0.710351,0.024149,0.237875,0.779912,0.188586,'true indigo'
0.025383,0.866947,0.169284,0.117243,0.044286,0.028739,0.803279,0.792683,0.775701,0.517958,0.502136,0.525296,0.07743,0.204106,0.083031,0.786757,0.02096,0.165364,0.84391,0.153846,'true indigo'
0.021019,0.918063,0.202667,0.179068,0.029879,0.012855,0.729508,0.707317,0.691589,0.603595,0.586343,0.621377,0.067149,0.173729,0.063294,0.689885,0.025477,0.248295,0.770264,0.225806,'true indigo'
0.025649,0.89061,0.142839,0.131888,0.049536,0.020728,0.770492,0.780488,0.747664,0.567179,0.516198,0.573533,0.061499,0.202582,0.06292,0.755075,0.024347,0.195958,0.816803,0.176179,'true indigo'
0.022419,0.940703,0.147671,0.130428,0.053224,0.019276,0.803279,0.804878,0.775701,0.525618,0.501358,0.534345,0.069846,0.197702,0.073421,0.79121,0.021591,0.167286,0.84411,0.153846,'true indigo'
0.027867,0.883929,0.148735,0.09943,0.047118,0.026692,0.721311,0.756098,0.691589,0.620224,0.484413,0.611273,0.057618,0.265443,0.071501,0.692603,0.024427,0.230439,0.780827,0.200993,'true indigo'
0.026422,0.889154,0.139298,0.130178,0.04919,0.020071,0.704918,0.756098,0.682243,0.626658,0.477724,0.606473,0.064365,0.277751,0.084249,0.671312,0.022588,0.236768,0.772725,0.208437,'true indigo'
0.02374,0.911795,0.153538,0.118365,0.051343,0.024418,0.647541,0.646341,0.607477,0.666866,0.609083,0.677577,0.07676,0.201921,0.076238,0.589976,0.023971,0.30504,0.701246,0.290323,'true indigo'
0.022438,0.921335,0.154521,0.129734,0.052258,0.022205,0.647541,0.707317,0.616822,0.656773,0.492722,0.638323,0.085592,0.299058,0.105745,0.584903,0.022366,0.310893,0.694064,0.253102,'true indigo'
0.025821,0.870219,0.105347,0.123736,0.07148,0.025699,0.598361,0.658537,0.570093,0.704326,0.541292,0.690399,0.081488,0.27854,0.092707,0.544211,0.02853,0.341452,0.66562,0.297767,'true indigo'
0.024615,0.899822,0.127259,0.13422,0.058776,0.020514,0.713115,0.719512,0.682243,0.618714,0.557746,0.62021,0.065053,0.203151,0.070772,0.680413,0.025555,0.246726,0.763307,0.223325,'true indigo'
0.027909,0.84522,0.07395,0.150818,0.079902,0.019011,0.606557,0.670732,0.579439,0.705153,0.525355,0.68086,0.074661,0.288343,0.094257,0.553517,0.028121,0.331786,0.674754,0.287841,'true indigo'
0.024158,0.876007,0.094525,0.193628,0.068902,0.01051,0.647541,0.719512,0.626168,0.680421,0.497448,0.65869,0.0636,0.284836,0.079972,0.60651,0.024626,0.291054,0.718487,0.25062,'true indigo'
0.027061,0.86109,0.127442,0.126177,0.056634,0.02432,0.614754,0.682927,0.588785,0.702393,0.504909,0.664391,0.071572,0.304545,0.10256,0.557119,0.023819,0.317704,0.690196,0.275434,'true indigo'
0.027066,0.883431,0.132217,0.098425,0.057368,0.02846,0.631148,0.707317,0.598131,0.700013,0.496326,0.669074,0.060903,0.295593,0.089672,0.582655,0.025504,0.313112,0.700236,0.263027,'true indigo'
0.02713,0.890157,0.131572,0.11337,0.053692,0.023165,0.622951,0.719512,0.598131,0.704381,0.464694,0.667905,0.06359,0.325291,0.092418,0.573761,0.027999,0.321809,0.681904,0.258065,'true indigo'
0.023978,0.922784,0.149105,0.121512,0.050735,0.021557,0.663934,0.695122,0.626168,0.675204,0.549675,0.669197,0.05709,0.236907,0.068608,0.620718,0.024502,0.284899,0.72125,0.258065,'true indigo'
0.022734,0.911176,0.129532,0.129437,0.064075,0.023273,0.663934,0.707317,0.635514,0.665086,0.524927,0.662412,0.064016,0.256568,0.06892,0.625399,0.024382,0.286251,0.72824,0.248139,'true indigo'
0.024925,0.8691,0.156776,0.123467,0.049634,0.027506,0.688525,0.731707,0.663551,0.65509,0.512386,0.63482,0.054696,0.254538,0.073661,0.650083,0.024129,0.260945,0.750717,0.228288,'true indigo'
0.024915,0.901971,0.151312,0.118534,0.049434,0.023816,0.639344,0.682927,0.607477,0.680704,0.536586,0.67159,0.07118,0.262597,0.082058,0.586768,0.025643,0.317182,0.698145,0.270471,'true indigo'
0.021194,0.939194,0.14839,0.132158,0.057278,0.021073,0.721311,0.719512,0.682243,0.636491,0.580291,0.662412,0.04206,0.169492,0.029461,0.704272,0.03244,0.248412,0.7662,0.223325,'true indigo'
0.022013,0.937485,0.141274,0.116538,0.060778,0.024092,0.754098,0.756098,0.719626,0.570636,0.530996,0.595457,0.072188,0.201669,0.062919,0.730143,0.022266,0.218851,0.799795,0.191067,'true indigo'
0.029564,0.838496,0.108443,0.106905,0.065079,0.028819,0.754098,0.719512,0.71028,0.555684,0.596947,0.597592,0.087512,0.150072,0.069343,0.710917,0.021715,0.226767,0.789944,0.2134,'true indigo'
0.004457,0.1354,0.394875,0.657337,0.223571,0.240226,0.565574,0.841463,0.570093,0.74878,0.261275,0.649004,0.066722,0.475844,0.127244,0.509921,0.060213,0.425547,0.577705,0.218362,'japanese maple'
0.004721,0.108454,0.402631,0.656618,0.24888,0.287674,0.540984,0.865854,0.570093,0.745237,0.203904,0.622349,0.087561,0.529975,0.15265,0.480153,0.052145,0.438618,0.562715,0.208437,'japanese maple'
0.003999,0.12452,0.477946,0.420148,0.251178,0.324676,0.459016,0.853659,0.495327,0.811565,0.208633,0.672754,0.092093,0.532583,0.156528,0.415772,0.086883,0.513171,0.480026,0.243176,'japanese maple'
0.004461,0.105997,0.380786,0.679371,0.266212,0.285766,0.606557,0.792683,0.598131,0.714043,0.342312,0.63915,0.065654,0.412281,0.11482,0.548013,0.066991,0.392716,0.618336,0.223325,'japanese maple'
0.004252,0.108221,0.450999,0.633467,0.23649,0.292273,0.598361,0.731707,0.588785,0.642634,0.409791,0.599256,0.134331,0.379596,0.162632,0.492679,0.060514,0.423446,0.587618,0.255583,'japanese maple'
